fawn|হরিণ-শিশু
violinist|বেহালা বাদক
shell-fish|গুগলি
denied|প্রত্যাখ্যাত
californium|ক্যালিফোর্নিয়াম
adorable|অতি আদরণীয়,আদরণীয়,ভালবাসার যোগ্য
taggers|ট্যাগার
dolce|মিষ্ট,মধুর
abdurrahman|আব্দুর রহ্‌মান
free.expression|মুক্তমত
alamode|ফ্যাশান দুরস্ত
confluent|নদী-সঙ্গম
confer|খেতাব প্রদান করা
illustration|অলংকরণ
constructive|গঠনমূলক
sadiq|সাদিক
architectural|স্থ্যাপত্য
peer|সমকক্ষ
post|পোষ্ট,পোষ্ট করা
properties|বৈশিষ্ট্যাবলী
neon|নিয়ন
trophy|পুরস্কার
sebastian|সেবাস্টিয়ান
newspapers|সংবাদপত্র
injure|আহত করা,আহত করা,আহত করা
naimul.karim|নাইমুল করিম
situated|অবস্থিত
visa|ভিসা,বিদেশে প্রবেশের অনুমতিপত্র
banker|মহাজন
horizon|দিগন্ত
princely|রাজকীয়
octopus|অক্টোপাস
treble|তিনগুণ,ট্রেবল
tetanus|ধনুষ্টঙ্কার
undergo|সহ্য করা
float|ভাসা
profession|পেশা
bound|বদ্ধ
rendering|প্রদর্শন
haskell|হাস্কেল
laval|লাভাল
orthodox.sunni|গোঁড়া সুন্নি,গোঁড়া সুন্নি
untimely.born|অকালজাত
wan|পান্ডুবর্ণ,ফেকাশে,রোগজীর্ণ,অবসন্ন
deception|প্রবঞ্চনা
compression|কম্প্রেশন,সঙ্কোচন
wag|ইতস্ততঃ নাড়ানো
segment|সেগমেন্ট
unchanging|অপরিবর্তনীয়
terminal|টার্মিনাল,প্রান্তিক
legislation|আইন
causative|কারণ সূচক,নিজন্ত
fight|লড়াই,লড়াই করা,লড়াই করা
derision|পরিহাস
accordingly|তদনুসারে,তদানুসারে,অতএব
clinical|চিকিৎসার জন্য
way|পথ,রাস্তা,উপায়
wax|মোম,বৃদ্ধি পাওয়া
wav|ডব্লিউএভি
war|যুদ্ধ,যুদ্ধ,লড়াই,যুদ্ধ
accountancy|জমাখরচ রাখার বিদ্যা,হিসাব রক্ষণের কার্য বা পদ
lowest|সর্বনিম্ন
decoded|ডিকোডকৃত
rubiya|রুবিয়া
something|কিছু জিনিষ
forgetful|বিস্মরণশীল
vitality|জীবনী শক্তি
encoder|এনকোডার
peninsula|উপদ্বীপ
taken|গৃহিত
netbsd|নেটবিএসডি
piya|পিয়া
catalyst|অনুঘটক
decoder|ডিকোডার
encoded|এনকোডকৃত
new.words|নতুন শব্দ
pre-set|প্রিসেট
true|সঠিক,সত্যি,সত্য
reset|রিসেট,পূর্বাবস্থায় ফেরাও,রিসেট করা
absent|অনুপস্থিত,গর হাজির
algiers|আলজিয়ার্স
kmix|কে-মিক্স
high-quality|উচ্চ গুনমানসম্পন্ন
slope|ঢাল
invincible|অজেয়
flirtatious|বাচাল
crystal|স্ফটিক
plymouth|প্লাইমাউথ
minor|মাইনর
vatican|ভ্যাটিকেন
emotional|আবেগতাড়িত
8-bit|৮-বিট
vacationers|অবকাশযাপনকারী
emit|বের করা
period-luminosity|পর্যায়-প্রভা সম্পর্ক
mails|চিঠি
vcd3|ভিসিড৩
medication|ঔষধ
christine.karim|ক্রিস্টিন করিম
scandalous|কুৎসাপূর্ণ
request|অনুরোধ,আবেদন,অনুরোধ করা
abstract|বিমূর্ত,নিগূঢ়,নিষ্কাশন করা,পৃথক করা
underprivileged|গরীব
evidence|প্রমাণ
manure|সার
postscript|পোস্টস্ক্রিপ্ট
coastal.area|উপকূলীয় অঞ্চল
guessed|অনুমিত
prayer|প্রার্থনা,যে ব্যাক্তি প্রার্থনা করে
enlist|তালিকাভুক্ত করা
distributions|বন্টন
archive|আর্কাইভ
physical|ভৌত,ভৌতিক
alice.springs|এলিস স্প্রিংস
encrypt|এনক্রিপ্ট,এনক্রিপ্ট করা
18th.century|অষ্টাদশ শতাব্দী
shivery|শিহরিত
atlantic.city|আটলান্টা সিটি
reality|বাস্তবতা
interested|কৌতূহলী
single.piece|এক টুকরো,এক অংশ
test|টেস্ট,পরীক্ষা,পরীক্ষা করা,পরীক্ষা
unwilling|অনিচ্ছুক
dynasties|রাজবংশ
2336-byte|২৩৩৬-বাইট
brothers|ভাই
juices|রস
welcome|স্বাগত,স্বাগতম,স্বাগত জানান,স্বাগতম,সাদরে অভ্যর্থনা করা
notepad|খাতা
update|সাম্প্রতিকীকরন,আপডেট করা
13th.century|১৩ শতক
adjutancy|সেনা বিভাগের সহকারী কর্মচারীর পদ
scores|স্কোর
remarrying|পুনর্বিবাহ
mohun|মোহন
jeddah|জেদ্দা
biographical.material|জীবনী উপাত্ত
rabbit|খারগোশ
coulomb|কুলম্ব
abscissa|ভুজ
interval|বিরতি
modules|মডিউল
affidavit|হলফনামা
together|একত্রে
jamahiriya|জামাহিরিয়া
classmate|সহপাঠী
notification|বিজ্ঞপ্তি
animator|অ্যানিমেটর
concept|ধারণা
dance|নৃত্য,নাচা
eccentric.anomaly|অতিকোণ
global|বিশ্বজনীন,সার্বিক,বিশ্ব
wakeful|জাগ্রৎ,জাগরুক,জাগরিত,সর্তক
switches|সুইচ
rajya|রাজ্য
microwave|মাইক্রোওয়েভ
grateful|কৃতজ্ঞ
battle|যুদ্ধ,ব্যাটল
indians|ভারতীয়
polluted|দূষিত
devoted|অনুরক্ত,ভক্ত
certainly|নিশ্চিতভাবে
killings|হত্যা
grape|আঙুর
million|দশ লক্ষ
flask|ফ্লাস্ক
graph|গ্রাফ
flash|ফ্ল্যাশ
webmaster|ওয়েবমাস্টার
aristocratic|আভিজাত্যপূর্ণ
permanently|স্থায়ীভাবে
birao|বিরাও
rhythm|ছন্দ
interior.planet|অন্তস্থ গ্রহ
terror|আতঙ্ক
idealist|ভাববাদী
southwest|দক্ষিণপশ্চিম,দক্ষিণ-পশ্চিম,নৈঋত কোণ
brown|বাদামী,খয়েরী,ব্রাউন
massive|বিরাট
supported|সমর্থিত,অনুমোদিত
universal.declaration|বিশ্বজনীন ঘোষণাপত্র
stone.age|প্রস্তর যুগ
liability|বাধ্যবাধকতা
automobiles|মোটরগাড়ি
vegas|ভেগাস
hidden.peak|লুকানো শৃঙ্গ
anonymous|অজ্ঞাতনামা,অজ্ঞাতপরিচয়,বেনামী
entries|এন্ট্রি
unencrypted|এনক্রিপশনবিহীন
airing|খোলা বাতাসে বেড়ানো
blast|বিস্ফোরণ
flammable|দাহ্য
presented|উপস্থাপিত
12th|১২তম
dutch.harbor|ডাচ হার্বার
gun|বন্দুক
gum|মাড়ি
outgoing.message|বহির্মুখী বার্তা
perceives|উপলব্ধি করা
addle-brained|নিবোর্ধ,জড় বুদ্ধি
prohibiton|নিষেধাজ্ঞা
guy|লোক
rubric|রুবরিচ
upper|উচ্চতর,উপরের,উপরের অংশ
rumour-monger|গুজব রটনাকারী
brave|সাহসী,সাহসী
egmore|এগমোর
abolionist|কোন কিছু উচ্ছেদ করার সমর্থক
discover|খুঁজে বার করা
agitate|আন্দোলন করা,আন্দোলন করা
niggardly|বদ্ধমুষ্টি
affiliation|আসক্তি
cost|খরচ,মূল্য দেওয়া,মূল্য
scarcity|অভাব,আকাল
initialized|সচল
cosy|আরামদায়ক
acrimonious|উগ্র,তীব্র
cargo|মাল
curse|অভিশাপ
appear|দেখা যাওয়া,মনে হওয়া,আবির্ভূত হওয়া
continence|সংযম
assistance|সহায়তা
rome|রোম
sequential|অনুক্রমিক,পরপর
shared|শেয়ারকৃত
appeal|আবেদন,আবেদন করা
satisfy|সন্তুষ্ট করা
supporting|সমর্থন করছে
stefan|স্টেফান
explosion|বিস্ফোরণ
other.countries|অন্যান্য দেশসমূহে
biani.bazar.high.school|বিয়ানী বাজার উচ্চ বিদ্যালয়
commandline|কমান্ড লাইন
muslim|মুসলিম,মুসলিম
strontium|স্ট্রোনসিয়াম
downloaded|ডাউনলোডকৃত
trinamul|তৃণমূল
teacher|শিক্ষক
change|পরিবর্তন,পরিবর্তন করা
make.hullabaloo|চেঁচামেচি করা
incoming|আগমনরত,অন্তর্মুখী
magic.realism|যাদু-বাস্তব
exiting|প্রস্থান করা হচ্ছে
detonate|বিস্ফোরিত করা,বিস্ফোরিত করা
affranchiac|দাসত্ব,দাসত্ব হতে মুক্ত করা
usually|সাধারণত
yoke|জোয়াল
macintosh|ম্যাকিন্টশ
matrimonial|বৈবাহিক
inference|অনুসিদ্ধান্ত,অনুমান
extra|অতিরিক্ত
marked|চিহ্নিত,নির্দিষ্টকৃত
yadav|যাদব
big.lake|বিগ লেক
palest|ক্ষীণতম
technetium|টেকনিশিয়াম
narmada.valley|নর্মদা উপত্যকা
nepalese|নেপালী
take.out|বের করে নেওয়া
rarely|কদাচিৎ
market|বাজার,কেনাকাটা করা
visage|মুখ
httpd|এইচটিটিপিডি
prove|প্রমাণ,প্রমাণ করা
super|সুপার
jumaada|জুম্মাদা
coalesce|একাত্ম হওয়া
k3bsetup2|কে-থ্রি-বি ব্যবস্থাপনা ২
stepmother|সৎমা
https|এইচটিটিপিএস
wanting|অভাবপূর্ণ,ক্রটিপূর্ণ
angels|দেবদেবী
rainfall|বৃষ্টিপাত
entrance|প্রবেশ
warrior|মহান সৈনিক
club|ক্লাব
printers|মুদ্রণযন্ত্র
envelope|খাম
knetworkmanager|কে-নেটওয়ার্ক-ম্যানেজার
clue|সূত্র
neolithic.era|নব্য প্রস্তর যুগ,নব্য প্রস্তর যুগ
commissioned|অনুমোদিত
parliamentary.democracy|সংসদীয় গণতন্ত্র
agiotage|ফাটকা ব্যবসা
logarithm|লগারিদম
organizations|সংগঠন,সংস্থা
bowler|বোলার
catechism|প্রশ্নোত্তর দ্বারা শিক্ষাদান,সংক্ষিপ্ত ধর্মশিক্ষা
car|গাড়ি
cap|টুপি
caw|কাকের ডাক
zirconium|জির্কোনিয়াম
cat|বিড়াল
purge|বিশোধন,বিশোধন করা
can|করতে পার
guadeloupe|গুয়াদেলোপ
pretoria|প্রিটোরিয়া
social|সামাজিক
heart|হৃদয়
vietnamese|ভিয়েতনাম
attribute|বৈশিষ্ট্য,আরোপ করা
chip|চীপ
samir|সামির
topic|বিষয়বস্তু,আলোচ্য বিষয়
abort|অস্বাভাবিক সমাপ্তি,বাতিল,বাতিল করা,গর্ভস্রাব হওয়া,ত্যাগ করা
refine|শোধন করা,শোধন করা
phrase|শব্দসমষ্টি
penumbra|উপচ্ছায়া
cold.war|শীতল যুদ্ধ
clothing|পোশাক
occur|ঘটা,ঘটান
tremendous|প্রচন্ড
jestful|পরিহাসপ্রিয়
discussion|আলোচনা
means|পদ্ধতি
species|প্রজাতি
write|লেখা,লেখা,লেখা
khwaja.usman|খাজা ওসমান
criterion|বিচারধারা,অনুমাপক
gconfd|জীকন্‌ফডী
vitroil|সালফিউরিক অ্যাসিড,গন্ধক দ্রাবক
intellectually|বুদ্ধিমত
nullify|‌উপদমন করা
nonstop|একটানা
economy|অর্থব্যবস্থা
product|দ্রব্য
musepack|মিউজপ্যাক
staircase|সিঁড়ি
escalate|ধাপে ধাপে বৃদ্ধি পাওয়া,তীব্রতর হওয়া
dive|ঝাঁপ দেওয়া
aol|এ-ও-এল
southern|দক্ষিণ
osborne|অসবর্ন
wistful|সতৃষ্ণ
port.allen|পোর্ট অ্যালেন
flourish|উন্নতিলাভ করা,উন্নতিলাভ করা
annotation|টীকাকরণ
recursive|পুনরাবৃত্ত
mmc3|এমএমসি৩
remember|মনে রাখ,মনে রাখা,স্মরণ করা
whenever|যখনই
explicit|সুনির্দিষ্ট
gidnumber|জি-আই-ডি সংখা
deconstruction|বিনির্মান
pulchritude|দৈহিক সৌন্দর্য
fireball|অগ্নিগোলক
rescan|পুনরায় স্ক্যান
typical|প্রতিরুপ
remand|জিজ্ঞাসাবাদের জন্য হাজতে রাখা
tagged|ট্যাগযুক্ত
deactivated|অচল
displayed|প্রদর্শিত
outer|বাহ্যিক
brain|বুদ্ধি
tablets|ট্যাবলেট
koovam|কুভম
nitrogen|নাইট্রোজেন,নাইট্রোজেন
cold|শীতল
still|এখনও
birds|পাখি
culmination|মধ্যগমন
acknowledge|প্রাপ্তিস্বীকার করা,স্বীকার করা,সত্যতা স্বীকার করা
willow|উইলো,বৃক্ষ-বিশেষ
kazakhstan|কাজাখস্তান
vicinity|কাছাকাছি,নৈকট্য,সামিপ্য
forms|আকৃতি,রূপ
window|জানালা,উইন্ডো,বাতায়ন
winnipeg|উইনিপেগ
spacious|স্থানবহুল
ipswich|ইপসউইচ
norway|নরওয়ে
poly-tetra-fluoro-ethene|পলি-টেট্রা-ফ্লুরো-ইথিন
non|নয়
blockquote|উদ্ধৃতি চিহ্ন
vidyasagar|বিদ্যাসাগর
introduce|উপস্থাপন,উপস্থাপন করা
edmond|এডমন্ড
scaling|স্কেলিং
transmissions|প্রেরণ
taliban|তালিবান
litmus|লিটমাস
half|অর্ধেক
not|না
now|এখন,এখন
provision|সরবরাহ
discuss|আলোচনা করা,আলোচনা করা
galloping|দ্রুতবেগে ধাবমান
final.year|শেষ বর্ষ
wont|অভ্যস্ত,অভ্যাস
layering|স্তরে স্তরে
servant|চাকর,খাদিম
james|জেমস
drop|ফেলা,ফোঁটা,ফেলে দেওয়া,বিন্দু
vinous|মদ্যসম্বন্ধীয়,মদিরাসদৃশ্য
ceremonially|আনুষ্ঠানিকভাবে
thaksin|থাকসিন
accrescence|ক্রমিকবৃদ্ধি
form2|ফর্ম২
form1|ফর্ম১
erich.von|এরিক ভন
temperamental|মেজাজি,খামখেয়ালি
enable/disable|সক্রিয়/নিষ্ক্রিয়
domain|ডোমেন
significantly|গুরুত্বপূর্ণভাবে
cairo|কায়রো
flat.view|চ্যাপ্টা দৃশ্য
spittle|থুতু
gaussian|গাউসিয়ান
jena|জেনা
nrds|এনআরডিএস
year|বছর,সন,সাল,বছর
wavelength|তরঙ্গদৈর্ঘ্য
happen|ঘটা,সংঘটিত হওয়া,ঘটা
dirname|ডিরেক্টরীর নাম
es|এস
abdicate|অধিকার ত্যাগ করা,ক্ষমতা ত্যাগ করা,পদত্যাগ করা
album|অ্যালবাম,ফটোগ্রাফ
subnet|সাবনেট
shown|প্রদর্শিত
accomplish|সুসম্পন্ন করা,সম্পন্ন করা
space|জায়গা,ফাঁক,মহাশূন্য,স্থান
hastily|দ্রুতভাবে
increase|বৃদ্ধি,বৃদ্ধি করা
grey.out|ধুসর করা
rational|যৌক্তিক
receiving|প্রাপ্ত,গ্রহণ
rebuilding|পুনর্নির্মাণ
diagnostic|রোগনির্ণয় সম্পর্কিত
dependencies|নির্ভরতা
advantages|সুবিধা
rebel|বিদ্রোহী,বিদ্রোহী,বিদ্রোহ করা
logviewerplugin|কার্যবিবরণী প্রদর্শক প্লাগিন
marina|মেরিনা
obligation|বাধ্যবাধকতা
marine|নৌসেনা
card|কার্ড
care|যত্ন
textbook|পাঠ্যবই
selections|নির্বাচন
transition|পরিবর্তন
british|ব্রিটিশ
honest|সৎ
disable|অকার্যকর করা,নিষ্ক্রিয় করা,নিষ্ক্রিয়করণ,নিষ্ক্রিয় করা
invitation|আমন্ত্রণ
styles|ধরন,স্টাইল
setting.circle|অস্তবৃত্ত
promotion|পদোন্নতি
cue-file|সন্ধান-সূত্র ফাইল
support|ব্যবহারের সুবিধা,সমর্থন,সহায়তা,সমর্থন করা
blind|অন্ধ,অন্ধ
miami.beach|মায়ামি বিচ
tennis|টেনিস
toulouse|তুলাও
impossibly|অসম্ভবভাবে
withstand|বাধা দেওয়া,প্রতিরোধ করা
variables|চলক
municipality|পুরসভা
blink|জ্বলজ্বল,জ্বলানেভা,পিট পিট করা,ব্লিঙ্ক
directly|সরাসরিভাবে,সরাসরি
hairstyles|কেশ বিন্যাস
impossible|অসম্ভব
message|তথ্য,বাণী,বার্তা
ways|উপায়
guinea.bissau|গিনি বিসাউ
zap|জ্যাপ
size|আকার,আকৃতি,আয়তন,মাপ,আকৃতি,আকার
sheep|ভেড়া
checked|পরীক্ষিত,চেক-কাটা
silent|নীরব,চুপ
categorical|বিভাগীয়,শ্রেণী সম্বন্ধীয়,স্পষ্ট,শর্তহীন,পরম,চরম
bookmark|বুকমার্ক
caught|ধরা পড়া
solstice|অয়ন
checker|পরীক্ষক
conidia|কনিডিয়া
typographical|টাইপোগ্রাফি সংক্রান্ত
sericulture|রেশমচাষ
configured|কনফিগার করা
friend|বন্ধু,মিত্র
nutrition|পুষ্টিবিধান
mostly|বেশির ভাগ
that|সেটা
pittsburgh|পিটসবার্গ
tongue|জিহ্বা
air-base|বিমান ঘাটি
status.bar|অবস্থা নির্দেশক
mare.vaporum|বাষ্প সাগর
pnm|পি.এন.এম,পিএনএম
tehran|তেহরান
uracil|ইউরাসিল
thai|থাই
than|চেয়ে
png|পিএনজি,পি.এন.জি
greenwood|গ্রিনউড
television|টেলিভিশন
thumbnails|থাম্বনেইল
accordance|ঐকমত্য,অনুরূপতা
mount.graham|মাউন্ট গ্রাহাম
recruit|নিয়োগ করা,নিয়োগ করা
optimism|আশাবাদ
applet|অ্যাপলেট
apples|আপেলগুলি
accessed|ব্যবহৃত
extinguish|নির্বাপন করা
sublime|শ্রেষ্ঠ
browser|ব্রাউজার
pond|পুকুর
portsmouth|পোর্টসমাউথ
surname|পদবি
angel|দেবদূত,ফিরিশতা
slay|হত্যা করা
saute|বেশী আঁচে দ্রুত ভাজা
dynamically|চলন্ত অবস্থায়
premier|প্রধান,প্রধান
punctually|সময়ানুবর্তীভাবে
slap|চড় মারা
departure|বহির্গমন
13th|১৩তম
anger|রাগ
waistcoat|ওয়েস্টকোট,ফতুয়াবিশেষ
recover|পনরুদ্ধার করা,পুনরুদ্ধার করা
windsor|উইন্ডসর
unfree|মুক্ত নয় এমন
explosives-filled|বিস্ফোরক পূর্ণ
dar.es.salaam|দার এস সালাম
anuradhapura|অনুরাধাপুরা
mr.|মি.
online|অনলাইন
objective|লক্ষ্য
similiar|অনুরূপ
dcoprss|ডিকপ-আর.এস.এস.
dvd-drive|ডিভিডি-ড্রাইভ
younger|ছোট,বয়সে ছোট,কচি
begin|শুরু হওয়া,শুরু হওয়া
dinakaran|দিনকরন
karakoram|কারাকোরাম
price|দাম,মূল্য
neatly|পরিষ্কার-পরিচ্ছন্ন ভাবে
konsole|কনসোল
toplevel|সর্বোচ্চ স্তর
importantly|গুরুত্বপূর্ণভাবে
landing|অবতরন করা
rationale|মূলনীতি
successive|ধারাবাহিক
america|আমেরিকা
forever|চিরকালীন
re-configure|পুনরায় কনফিগার করা,পুনরায় কনফিগার করা
optical.fiber|অপটিকাল ফাইবার
alchol|বিশুদ্ধ সুরাসার
dream|স্বপ্ন,স্বপ্ন দেখা
hurley|হার্লে
visual|দৃষ্টি সংক্রান্ত,দৃষ্টিগোচর,দর্শন সংক্রান্ত,চাক্ষুষ
verde|ভার্দি
sunset|সূর্যাস্ত
videodvd|ভিডিও ডিভিডি
conservatively|রক্ষণশীলভাবে
prime.vertical|পূর্বাপর বৃত্ত
abraham|আব্রাহাম
green.bank|গ্রিন ব্যাঙ্ক
translators|অনুবাদকবৃন্দ
yard|এক গজ
hashemite|হাসেমিয়
german|জার্মান,জার্মান
spyware|স্পাইওয়্যার
fifty|পঞ্চাশ
veer.savarkar|বীর সাভাকর
acetyle.salicylic.acid|অ্যাসিটাইল স্যালিসাইক্লিক এসিড
colombo|কলোম্বো
phase.out|বাতিল করা
copyrighted|কপিরাইট যুক্ত
remnants|অবশিষ্ট
rescanned|পুনরায় স্ক্যানকৃত
fifth|পঞ্চম
geography|ভূগোল
nebulosity|নীহারিকাত্ব
snack|জলখাবার
chit-chat|গালগল্প
stair|সিঁড়ি
absolute.freedom|পূর্ণাঙ্গ স্বাধীনতা
unix|ইউনিক্স
proportion|অনুপাত
texture|অঙ্গবিন্যাস,খাপ
analyst|বিশ্লেষক
staid|রাশভারী
only|একমাত্র,কেবল,কেবল,মাত্র
subfolders|সাব-ফোল্ডার
western-style.democracy|পাশ্চাত্যরীতির গণতন্ত্র
unauthenticated|পরিচয় প্রমাণ ব্যতীত
sierra|সিয়ারা
invisible|অদৃশ্য,গায়েব
underfunded|অপ্রতুলভাবে লগ্নীকৃত
jaya|জয়া
third-party|তৃতীয়-পক্ষ
injustice|অবিচার
mission|লক্ষ্য,অভিযান
loath|ঘৃণা করা
baghdad|বাগদাদ
cannot|গেল না
own.theories|নিজস্ব তত্ত্ব সমূহ
progress|অগ্রগতি,এগিয়ে যাওয়া,অগ্রগতি করা
promotional.photo|প্রচার-উৎসাহবর্ধক ফোটো
celebrate|উদযাপন,উদযাপন করা,ধর্মানুষ্ঠান করা
equalizer|ইকুয়ালাইজার
ad-hoc|অ্যাড-হক
angolan|অ্যাঙ্গোলীয়
yard-stick|গজকাঠি
scientist|বিজ্ঞানী
pituitary|পিটুইটারি
husband|স্বামী
bulgaria|বুলগেরিয়া
concert|মিলন
burst|বিস্ফোরিত হওয়া
severely|তীব্রভাবে
spore|রেণু
whitewash|চুনকাম
famine|আকাল,দুর্ভিক্ষ
elected|নির্বাচিত
actively|সক্রিয়ভাবে
asleep|ঘুমন্ত
pretext|মিথ্যা ওজর
indo-german.pact|ইন্দো-জার্মান চুক্তি
sport|খেলা
concern|উদ্বিগ্ন হওয়া,উদ্বিগ্ন হওয়া,সম্পর্কিত
israeli|ইজরায়েলী
ahimsa|অহিংসা
vector-borne|ভেক্টর বাহিত
wriggle|মোচড় দেওয়া,অস্বস্তি বোধ করা
sapporo|সাপোরো
colours|রং
altercation|বাদানুবাদ,তর্কাকর্তী
between|মধ্যে
herbal|ভেষজ
import|আমদানি,আমদানি করা
justified|বিন্যাসকৃত
islam|ইসলাম
transit.instrument|অতিক্রম যন্ত্র
notice|নোটিস,লক্ষ্য করা,বিজ্ঞপ্তি
waste-paper|বাজে কাগজ
transpose|পরস্পর স্থান পরিবর্তন করানো
analyzer|বিশ্লেষক
blame|দোষারোপ,দোষারোপ করা
armenian|আর্মেনীয়
saqlain|সাকলাইন
article|প্রবন্ধ,আর্টিকল,নিবন্ধ
pixels|পিক্সেল
installation|ইনস্টলেশন
talented|প্রতিভাবান,প্রতিভাবান,গুনী
mono|মোনো
propaganda|প্রচার
enabling|সক্রিয়করণ
pray|প্রার্থনা করা,প্রার্থনা,প্রার্থনা করা
kisangani|কিসাঙ্গানি
roof|ছাদ
cd-rw|সিডি-আরডব্লিউ
comet|ধূমকেতু
ragib.hasan|রাগিব হাসান
comes|আসে
nearby|নিকটবর্তী
madness|পাগলামি
sulky|গোমড়া-মুখো
fifa.world.cup|ফিফা বিশ্বকাপ
adroit|নিপুন,দক্ষ
overview|অবলোকন,নিরীক্ষণ
exploit|শোষণ করা,শোষণ করা
daman|দমন
actually|প্রকৃতপক্ষে,প্রকৃত পক্ষে,বস্তুতঃ,কার্যত
caret|ক্যারেট
eternal.life|অনন্ত জীবন
resort|শরণ নেওয়া,শরণ নেওয়া
invert|বিপরীত অবস্থায় আনা,বিপরীত অবস্থায় আন
informed|জ্ঞাত
tropical|গ্রীষ্মমণ্ডলীয়,গ্রীষ্মমণ্ডলীয়
thiruvalluvar|তিরুভল্লভর
covert|গোপন
technical|প্রযুক্তিগত,কৌশল
wetness|আর্দ্রতা
odessa|ওডেসা
wonderful|চমৎকার
restrictions|সীমাবদ্ধতা
yunus|ইউনূস
zambian|জাম্বিয়ান
nikon|নিকন
stephen|স্টিফেন
external|বাহ্যিক,বহিস্থ
cyanoguanidine|সাইনোগুয়ানিডাইন
foggy|কুয়াশাচ্ছন্ন
art.division|কলা বিভাগ
sticky|স্টিকি
ruby|রুবি
anthracene|অ্যানথ্রাসিন
crumb|গুড়া
developing|উন্নয়নশীল
ina|আই-এন-এ
accommodating|মানিয়া নিতে পারে এমন
immune.system|অনাক্রম্য সিস্টেম
eid|ঈদ
actualise|বাস্তবে পরিনত করা
joke|কৌতুক,পরিহাস করা,ঠাট্টা করা,পরিহাস
landslide|ধস
how.to|কিভাবে
fool|বোকা
orientation|দিশা,প্রদর্শনের ধরন
zenith|সুবিন্দু
soil|মাটি,ময়লা করা
agnostic|অঞ্জেয়বাদী
canceled|বাতিলকৃত
sudanese|সুদানের
beaver|বিভার
helium|হিলিয়াম
aborignal|আদিম,প্রাচীন
worry|চিন্তা,উদ্ধিগ্ন হওয়া
sucking|চোষা
teheran|তেহেরান
dina.thanthi|দিনতন্থি
develop|বিকশিত করা,বিকশিত করা
media|মিডিয়া
ad.agency|বিজ্ঞাপণী সংস্থা
quagmire|বিপজ্জনক পরিস্থিতি
slighter|তুচ্ছতর
epoch|যুগ
inquiry|অনুসন্ধান
dynamic.ip|অস্থায়ী আই.পি.
streams|স্ট্রীম
document|ডকুমেন্ট,নথি,নথী,প্রবন্ধ,বর্ণনা
noble|মহৎ
mbyte|মেগাবাইট
finish|শেষ,শেষ করা
centuries|শতক,শতাব্দী
odi|ওডিআই
initialization|চালুকরণ
foam|ফেনা
al.quran|আল কোরআন
nawab.of.bengal.siraj-ud-daulah|বাংলার নবাব সিরাজ-উ-দ্দৌলা
classical.dance|শাস্ত্রীয় নৃত্য
fruit|ফল
two|দুই
favorites|প্রিয়
tradition|ঐতিহ্য
mentally|মানসিকভাবে,মানসিকভাবে
wax-candle|মোমবাতি
placebo|সৌখিন ঔষধ
theater|থিয়েটার
alfresco|মুক্ত বায়ুতে
irresistable|দুর্দম
constitutional|সাংবিধানিক
nagpur|নাগপুর
wedge|গোঁজ,খোঁটা,কীলক
present.day|বর্তমান সময়
aphelion|অপসূর
immeasurable|অপরিমেয়
alleviate|লাঘব করা
coordinate|স্থানাংক
wessel|ওয়েসেল
wean|মাই ছাড়ানো,বদাভ্যাস ত্যাগ করানো
frontpage|প্রথম পাতা
weather-glass|বায়ুমান যন্ত্র
charged|আধানযুক্ত
taxi|ট্যাক্সি
harddisc|হার্ড ডিস্ক
livestock|গৃহপালিত পশু
worn-out|ক্লান্ত
generally|সাধারণত,সাধারনভাবে
armour|আর্মার
harddisk|হার্ড ডিস্ক
open.space|খোলা চত্বর
bitmap|বিটম্যাপ
accumulate|জড়ো করা,জড়ো হওয়া
actor|অভিনেতা,নট
touch|স্পর্শ,স্পর্শ করা
speed|গতি
revaluation|পুনর্মূল্যায়ণ
death|মৃত্যূ,ডেথ
sheldon|শেলডন
grammatical|ব্যাকরণগত
wet|আর্দ্র,ভিজা,সিক্ত
desktop|ডেস্কটপ
allude|পরক্ষভাবে উল্লেখ করা
verse|স্তবক
treatment|চিকিৎসা,আচরণ
same.name|একই নাম
role|ভূমিকা
cogitate|আন্দোলন করা
real|প্রকৃত
larva|লার্ভা
read|পড়া,পড়া,পাঠ করা
cayman|কেইম্যান
selma|সেলমা
absorptive|শোষণক্ষম,শুষে নিতে পারে এমন
psd|পিএসডি
early|আগের,আগে
outsource|আউটসোর্স,আউটসোর্সিং করা
snowfall|তুষারপাত
listening|শুনছে
using|ব্যবহার করে
execution|কার্যকর করা
lady|গৃহিণী,পত্নী
rear|পেছন,প্রতিপালিত করা
non-local|স্থানীয় নয় এমন
fortune|দৈব্য
secret.society|গোপন সমাজ
new.iberia|নিউ আইবেরিয়া
collective|সম্মিলিত
greeting|অভ্যর্থনা
miracle|অলৌকিক ঘটনা
universal.declaration.of.human.rights|বিশ্বজনীন মানবাধিকার ঘোষণাপত্র
annually|বছরে,বার্ষিক
benefit|সুবিধা
blackberry|ব্ল্যাকবেরি
tilottoma|তিলোত্তমা
output|আউটপুট,ফলাফল
dilution|লঘুকরণ
non-free.image|উন্মুক্ত নয় এমন চিত্র
ceremonial|আনুষ্ঠানিক
abjection|নীচ বা হীন অবস্থা
twelve|বারো
verbal|মৌখিক
sovereign.nation|সার্বভৌম জাতি
uppercase|বড় হাতের
ashraf|আশরাফ
abidjan|আবিদজান
eddie|এডি
hour.angle|কালকোণ
